1.9228 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
6.9114 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
8.1224 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000022407C4AE80>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002240A752E20>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.1226 	EXP 	window1: mouseVisible = True
8.1228 	EXP 	window1: mouseVisible = False
8.1229 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
8.1229 	EXP 	window1: recordFrameIntervals = False
8.2874 	EXP 	window1: recordFrameIntervals = True
8.4711 	EXP 	Screen (0) actual frame rate measured at 60.07Hz
8.4711 	EXP 	window1: recordFrameIntervals = False
10.7125 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1, 1, 1]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
10.7177 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, interpolate=True, mask='circle', maskParams=None, name='grating', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.1, 0.1]), tex='sin', texRes=128.0, units='height', win=Window(...))
10.7602 	EXP 	Imported Grating_Titration_exp.xlsx as conditions, 1 conditions, 5 params
11.2555 	EXP 	window1: recordFrameIntervals = False
11.2615 	EXP 	window1: recordFrameIntervals = False
12.2570 	EXP 	fixation: autoDraw = True
12.7206 	EXP 	grating: autoDraw = True
12.7206 	EXP 	grating: tex = 'sin'
13.0208 	EXP 	grating: autoDraw = False
13.2708 	EXP 	fixation: autoDraw = False
17.1555 	EXP 	window1: recordFrameIntervals = False
17.1567 	DATA 	Keypress: left
17.1707 	EXP 	fixation: autoDraw = False
17.1707 	EXP 	grating: autoDraw = False
17.1708 	EXP 	window1: recordFrameIntervals = False
18.1543 	EXP 	fixation: autoDraw = True
19.1539 	EXP 	fixation: autoDraw = False
19.1707 	EXP 	grating: autoDraw = True
19.1707 	EXP 	grating: tex = 'sin'
19.4705 	EXP 	grating: autoDraw = False
19.5553 	EXP 	window1: recordFrameIntervals = False
19.5560 	DATA 	Keypress: right
19.5705 	EXP 	fixation: autoDraw = False
19.5705 	EXP 	grating: autoDraw = False
19.5706 	EXP 	window1: recordFrameIntervals = False
20.5545 	EXP 	fixation: autoDraw = True
21.5540 	EXP 	fixation: autoDraw = False
21.5706 	EXP 	grating: autoDraw = True
21.5706 	EXP 	grating: tex = 'sin'
21.8704 	EXP 	grating: autoDraw = False
21.9552 	EXP 	window1: recordFrameIntervals = False
21.9559 	DATA 	Keypress: left
21.9706 	EXP 	fixation: autoDraw = False
21.9706 	EXP 	grating: autoDraw = False
21.9708 	EXP 	window1: recordFrameIntervals = False
22.9541 	EXP 	fixation: autoDraw = True
23.9538 	EXP 	fixation: autoDraw = False
23.9538 	EXP 	grating: autoDraw = True
23.9538 	EXP 	grating: tex = 'sin'
24.2396 	EXP 	window1: recordFrameIntervals = False
24.2404 	DATA 	Keypress: right
24.2539 	EXP 	grating: autoDraw = False
24.2539 	EXP 	fixation: autoDraw = False
24.2539 	EXP 	grating: autoDraw = False
24.2541 	EXP 	window1: recordFrameIntervals = False
25.2371 	EXP 	fixation: autoDraw = True
26.2371 	EXP 	fixation: autoDraw = False
26.2541 	EXP 	grating: autoDraw = True
26.2541 	EXP 	grating: tex = 'sin'
26.5545 	EXP 	grating: autoDraw = False
26.6062 	EXP 	window1: recordFrameIntervals = False
26.6072 	DATA 	Keypress: left
26.6207 	EXP 	fixation: autoDraw = False
26.6207 	EXP 	grating: autoDraw = False
26.6226 	EXP 	window1: recordFrameIntervals = False
27.6046 	EXP 	fixation: autoDraw = True
28.6205 	EXP 	fixation: autoDraw = False
28.6205 	EXP 	grating: autoDraw = True
28.6205 	EXP 	grating: tex = 'sin'
28.9051 	EXP 	window1: recordFrameIntervals = False
28.9059 	DATA 	Keypress: right
28.9203 	EXP 	grating: autoDraw = False
28.9203 	EXP 	fixation: autoDraw = False
28.9203 	EXP 	grating: autoDraw = False
28.9205 	EXP 	window1: recordFrameIntervals = False
29.9053 	EXP 	fixation: autoDraw = True
30.9204 	EXP 	fixation: autoDraw = False
30.9204 	EXP 	grating: autoDraw = True
30.9204 	EXP 	grating: tex = 'sin'
31.2204 	EXP 	grating: autoDraw = False
31.3387 	EXP 	window1: recordFrameIntervals = False
31.3394 	DATA 	Keypress: left
31.3542 	EXP 	fixation: autoDraw = False
31.3542 	EXP 	grating: autoDraw = False
31.3545 	EXP 	window1: recordFrameIntervals = False
32.3373 	EXP 	fixation: autoDraw = True
33.3370 	EXP 	fixation: autoDraw = False
33.3537 	EXP 	grating: autoDraw = True
33.3537 	EXP 	grating: tex = 'sin'
33.6220 	EXP 	window1: recordFrameIntervals = False
33.6228 	DATA 	Keypress: right
33.6369 	EXP 	fixation: autoDraw = False
33.6369 	EXP 	grating: autoDraw = False
33.6371 	EXP 	window1: recordFrameIntervals = False
34.6208 	EXP 	fixation: autoDraw = True
35.6202 	EXP 	fixation: autoDraw = False
35.6369 	EXP 	grating: autoDraw = True
35.6369 	EXP 	grating: tex = 'sin'
35.9369 	EXP 	grating: autoDraw = False
36.0384 	EXP 	window1: recordFrameIntervals = False
36.0392 	DATA 	Keypress: left
36.0535 	EXP 	fixation: autoDraw = False
36.0535 	EXP 	grating: autoDraw = False
36.0537 	EXP 	window1: recordFrameIntervals = False
37.0372 	EXP 	fixation: autoDraw = True
38.0368 	EXP 	fixation: autoDraw = False
38.0537 	EXP 	grating: autoDraw = True
38.0537 	EXP 	grating: tex = 'sin'
38.3537 	EXP 	grating: autoDraw = False
38.4383 	EXP 	window1: recordFrameIntervals = False
38.4391 	DATA 	Keypress: left
38.4535 	EXP 	fixation: autoDraw = False
38.4535 	EXP 	grating: autoDraw = False
38.4536 	EXP 	window1: recordFrameIntervals = False
39.4374 	EXP 	fixation: autoDraw = True
40.4367 	EXP 	fixation: autoDraw = False
